0.077,-2.872
0.077,-1.335
0.077,-1.263
0.078,0.108
0.078,0.14
0.078,0.55
0.079,0.558
0.079,0.612
0.079,0.59
0.079,0.45
0.08,0.443
0.08,0.292
0.08,0.283
0.08,0.153
0.081,0.148
0.081,0.103
0.081,0.103
0.081,0.113
0.082,0.117
0.082,0.102
0.082,0.1
0.082,0.067
0.083,0.065
0.083,0.015
0.083,0.013
0.083,-0.048
0.084,-0.052
0.084,-0.087
0.084,-0.087
0.084,-0.072
0.085,-0.073
0.085,-0.037
0.085,-0.035
0.085,0.023
0.086,0.027
0.086,0.107
0.086,0.11
0.086,0.193
0.086,0.197
0.087,0.222
0.087,0.222
0.087,0.18
0.087,0.178
0.088,0.077
0.088,0.072
0.088,-0.008
0.088,-0.015
0.089,0
0.089,0.003
0.089,0.09
0.089,0.095
0.09,0.263
0.09,0.275
0.09,0.768
0.09,1.772
0.091,0.282
0.091,-0.113
0.091,2.312
0.091,2.369
0.092,-1.142
0.092,-1.045
0.092,0.305
0.092,0.328
0.093,0.522
0.093,0.525
0.093,0.508
0.093,0.507
0.094,0.488
0.094,0.485
0.094,0.493
0.095,0.495
0.095,0.542
0.095,0.545
0.095,0.653
0.096,0.718
0.096,0.657
0.096,0.643
0.096,-0.183
0.097,-0.235
0.097,-1.03
0.097,-1.092
0.097,-0.868
0.098,-0.845
0.098,-0.252
0.098,-0.228
0.098,0.142
0.099,0.15
0.099,0.247
0.099,0.245
0.099,0.143
0.1,0.137
0.1,0.052
0.1,0.062
0.1,0.053
0.101,0.052
0.101,0.06
0.101,0.06
0.101,0.075
0.102,0.078
0.102,0.07
0.102,0.07
0.102,0.055
0.102,0.055
0.103,0.04
0.103,0.033
0.103,0.047
0.103,0.047
0.104,0.087
0.104,0.087
0.104,0.122
0.104,0.123
0.105,0.173
0.105,0.173
0.105,0.185
0.105,0.178
0.106,0.108
0.106,0.105
0.106,-0.012
0.106,-0.017
0.107,-0.113
0.107,-0.123
0.107,-0.1
0.107,-0.098
0.108,-0.057
0.108,-0.058
0.108,-0.175
0.108,-0.182
0.109,-0.253
0.109,-0.245
0.109,-0.073
0.11,-0.05
0.11,-0.123
0.11,-0.132
0.11,-0.303
0.111,-0.357
0.111,-0.308
0.111,-0.302
0.111,-0.01
0.112,0.003
0.112,0.22
0.112,0.225
0.112,0.315
0.113,0.317
0.113,0.333
0.113,0.332
0.113,0.298
0.114,0.295
0.114,0.215
0.114,0.212
0.114,0.132
0.115,0.128
0.115,0.058
0.115,0.055
0.115,0.022
0.116,0.023
0.116,0.05
0.116,0.052
0.116,0.075
0.117,0.077
0.117,0.088
0.117,0.087
0.117,0.093
0.117,0.088
0.118,0.093
0.118,0.09
0.118,0.053
0.118,0.052
0.119,0.035
0.119,0.04
0.119,-0.073
0.119,-0.095
0.12,-0.767
0.12,-0.815
0.12,-0.583
0.12,-0.565
0.121,-0.257
0.121,-0.248
0.121,-0.062
0.121,-0.058
0.122,0.042
0.122,0.045
0.122,0.092
0.122,0.093
0.123,0.112
0.123,0.113
0.123,0.143
0.123,0.147
0.124,0.268
0.124,0.702
0.124,0.02
0.124,-0.192
0.125,-0.618
0.125,-0.605
0.125,-0.232
0.126,-0.218
0.126,0.017
0.126,0.022
0.126,0.065
0.127,0.06
0.127,0.077
0.127,0.077
0.127,0.095
0.128,0.093
0.128,0.1
0.128,0.098
0.128,0.052
0.129,0.045
0.129,-0.14
0.129,-0.143
0.129,-0.217
0.13,-0.223
0.13,-0.203
0.13,-0.202
0.13,-0.102
0.131,-0.097
0.131,0.045
0.131,0.05
0.131,0.162
0.132,0.167
0.132,0.287
0.132,0.29
0.132,0.382
0.133,0.385
0.133,0.448
0.133,0.452
0.133,0.19
0.134,0.147
0.134,-1.205
0.134,-1.483
0.134,-0.99
0.135,-0.97
0.135,-0.298
0.135,-0.27
0.135,0.138
0.136,0.148
0.136,0.28
0.136,0.283
0.136,0.303
0.137,0.297
0.137,0.263
0.137,0.26
0.137,0.2
0.138,0.197
0.138,0.138
0.138,0.137
0.138,0.092
0.139,0.092
0.139,0.067
0.139,0.065
0.139,0.048
0.14,0.048
0.14,0.037
0.14,0.04
0.14,0.028
0.141,0.028
0.141,0.018
0.141,0.018
0.141,0.005
0.141,0.005
0.142,-0.002
0.142,0.002
0.142,-0.005
0.142,-0.003
0.143,-0.013
0.143,-0.012
0.143,-0.007
0.143,-0.008
0.144,0.008
0.144,0.01
0.144,0.02
0.144,0.018
0.145,0.025
0.145,0.023
0.145,0.028
0.145,0.025
0.146,0.01
0.146,0.01
0.146,-0.028
0.146,-0.03
0.147,-0.072
0.147,-0.072
0.147,-0.085
